 AGHIOS MAKARIOS ,1987,  227 m X 43 m ,  88309 t ,  SYGQ ,8600167,237952000
 AGI ,1981,  223 m X 32 m ,  63195 t ,  3FZZ7 ,7917939,370888000
 AGIA FILOTHEI ,1988,  240 m X 36 m ,  74400 t ,  C4LW2 ,8604620,210048000
 AGIA THEODORA ,1989,  85 m X 15 m ,  1046 t ,  SXZI ,8822155,239619000
 AGIOS EMILIANOS ,1989,  225 m X 32 m ,  69351 t ,  P3QM9 ,8802935,210221000
 AGISILAOS ,2006,  184 m X 27 m ,  37000 t ,  V7KO7 ,9315745,538002655
 AGNES SCAN ,2006,  0 m X 0 m ,  3490 t ,  V2BS7 ,9375862,304915000
 AHMAD JUNIOR_1 ,1982,  160 m X 25 m ,  24856 t ,  3FJA4 ,8222056,354412000
 AHMED ,1972,  105 m X 15 m ,  4211 t ,  XUDR7 ,7129764,514027000
 AHT ANN S0FIE ,1999,  42 m X 11 m ,  425 t ,  HP 9508 ,9212840,357219000
 AICHI MARU ,1991,  148 m X 20 m ,  4979 t ,  JG5O23 ,8921793,431100618
 AIDADIVA ,2007,  251 m X 36 m ,  7500 t ,  ICDH ,9334856,247187700
 AIDALUNA ,2009,  251 m X 36 m ,  7500 t ,  ICLP ,9334868,247255400
 AIDAVITA ,2002,  203 m X 28 m ,  4232 t ,  IBNP ,9221554,247114900
 AKADEMIK S.VAVILOV ,1988,  117 m X 18 m ,  2275 t ,  UAUO ,8507729,273414400
 AKERAIOS ,2007,  185 m X 32 m ,  47000 t ,  A8KS3 ,9328297,636013115
 AKNOUL ,1993,  122 m X 21 m ,  5387 t ,  CNA3664 ,8917883,242025000
 AKTI  A ,1996,  178 m X 26 m ,  28280 t ,  9HLV8 ,9112064,256133000
 AL DAAYEN ,2007,  288 m X 43 m ,  78520 t ,  C6VF7 ,9325702,311133000
 AL DALOW ,1982,  57 m X 12 m ,  839 t ,  A6E2959 ,8115928,470767000
 AL HADI ,1969,  103 m X 14 m ,  4420 t ,  D6DK3 ,6929193,616471000
 AL HILAL ,2008,  306 m X 40 m ,  79030 t ,  A7ER ,9349552,466026000
 AL JABER 4 ,1982,  68 m X 14 m ,  1200 t ,  A6E2182 ,8218196,470276000
 AL KHOR ,1999,  3 m X 7 m ,  6272 t ,  A7GZ ,9199775,466060000
 AL MIRQAB ,1983,  212 m X 32 m ,  35615 t ,  9KHN ,8117304,447028000
 AL MOSTAFA ,1979,  103 m X 15 m ,  4500 t ,  D6EN5 ,7800136,616680000
 AL RAYYAN ,1989,  276 m X 32 m ,  49262 t ,  P3FU7 ,8718122,212249000
 AL SHUWAYHAT ,2006,  0 m X 0 m ,  900 t ,  A6E2848 ,9357743,470560000
 AL TOWFAN ,1982,  45 m X 11 m ,  375 t ,  A6E2485 ,8112225,470426000
 AL WAAB ,2003,  116 m X 20 m ,  9131 t ,  A7MB ,9259642,466214000
 AL WAJBA ,1983,  212 m X 32 m ,  35615 t ,  A7EP ,8117251,466148000
 ALAM PENTING ,2005,  229 m X 36 m ,  87052 t ,  9VJK3 ,9290842,563249000
 ALANA ,2004,  149 m X 22 m ,  11409 t ,  MFNN5 ,9297589,235007820
 ALANA EVITA ,2007,  89 m X 12 m ,  3150 t ,  PBRU ,9356529,246443000
 ALBACORA FRIGO DOS ,1979,  93 m X 15 m ,  2703 t ,  EHQO ,7713230,224512000
 ALBEMARLE ISLAND ,1993,  180 m X 26 m ,  14160 t ,  C6LU3 ,9059602,308511000
 ALBLASGRACHT ,1991,  130 m X 19 m ,  12150 t ,  PCIG ,9013878,245389000
 ALEX D ,1969,  75 m X 11 m ,  1975 t ,  SY8639 ,7002461,239282200
 ALEXANDER GRIN ,1997,  89 m X 13 m ,  3030 t ,  9HNW8 ,9057331,256199000
 ALEXANDERGRACHT ,1991,  129 m X 19 m ,  12150 t ,  PCKU ,8811950,244781000
 ALEXANDRA S ,1972,  77 m X 12 m ,  1440 t ,  E5U2179 ,7211907,518228000
 ALEXANDROUPOLIS ,1970,  88 m X 16 m ,  3099 t ,  SVTF ,7021534,239761000
 ALFA BRITANNIA ,1998,  35 m X 9 m ,  99222 t ,  C6PL4 ,9154232,309225000
 ALGARVE ,1998,  190 m X 28 m ,  32617 t ,  9HXA5 ,9170638,248250000
 ALGECIRAS SPIRIT ,2000,  274 m X 48 m ,  160240 t ,  EAND ,9207027,224959000
 ALHOLMEN ,1984,  87 m X 13 m ,  3171 t ,  OJMZ ,8309921,230992000
